OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACILITY,RACK_CAPACITY,DELINEATOR_POSTS,FINISH_TYPE,SURFACE_TYPE,INSTALL_DATE,MOUNT_TYPE,COLOR,MANUFACTURER,MODEL_TYPE,CONDITION,CONDITION_ASSESSMENT_DATE,SIDE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,Shape,SHAPE_LNG,SHAPE_LAT
1349,519132,16,14365,133,-26,BKR-2807,BKR,E MADISON ST 0310 BLOCK SE SIDE ( 120) 120 FT NE/O LAKE WASHINGTON BLVD E                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,08/19/2009 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT3, ,N,,"(47.62622498300004, -122.29198506299997)",-122.291985064328017,47.626224982690303
1350,517794,16,12311,197,27,BKR-2167,BKR,QUEEN ANNE AVE N 0180 BLOCK W SIDE ( 186) 186 FT N/O BLAINE ST                                                                                                                                                                                                 ,SGL,6,N,PAINT,PCC,,SUFMT,BLK,BKR-CORA,BKR-W3606,GOOD,07/27/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT7, ,N,,"(47.635281630000065, -122.35707292999996)",-122.357072931836001,47.635281630047004
1351,517722,16,14348,23,27,BKR-1186,BKR,E MADISON ST 0169 BLOCK NW SIDE (   0) 0 FT NE/O E PINE ST                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,07/20/2009 12:00:00 AM +0000,NW,SDOT,INSVC,DISTRICT3, ,N,,"(47.61526274700003, -122.31114464699999)",-122.31114464876201,47.615262746724198
1352,518797,16,2363,43,17,BKR-507,BKR,17TH AVE 0110 BLOCK W SIDE (  30) 30 FT N/O E SPRING ST                                                                                                                                                                                                        ,SGL,2,N,GALV,PCC,03/13/2002 12:00:00 AM +0000,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,07/23/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT3, ,N,,"(47.611657738000076, -122.31024154499994)",-122.310241546263015,47.611657738278204
1353,518025,16,14593,189,-29,BKR-701,BKR,E PIKE ST 0030 BLOCK S SIDE ( 159) 54 FT W/O BELLEVUE AVE                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,12/04/2007 12:00:00 AM +0000,STBS,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,07/20/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.614010379000035, -122.32711176099997)",-122.327111762669006,47.6140103787112
1354,516710,16,2349,443,25,BKR-2549,BKR,16TH AVE SW 0920 BLOCK E SIDE ( 430) 214 FT N/O SW CAMBRIDGE ST                                                                                                                                                                                                ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,08/14/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT1, ,N,,"(47.51981938800003, -122.35503667199998)",-122.355036673568009,47.5198193878539
1355,518616,16,10075,147.5,44,BKR-1347,BKR,DEXTER AVE N 0050 BLOCK W SIDE ( 130) 130 FT N/O REPUBLICAN ST                                                                                                                                                                                                 ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,07/23/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT7, ,N,,"(47.62362772900008, -122.34253613999999)",-122.342536141587004,47.623627728523296
1356,518455,16,8290,382,-31,BKR-1458,BKR,8TH AVE N 0040 BLOCK E SIDE ( 359) 41 FT S/O REPUBLICAN ST                                                                                                                                                                                                     ,SGL,2,N,PAINT,PCC,,SUFMT,SLV,BKR-ARCRE,BKR-RLTYP,GOOD,07/23/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT7, ,N,,"(47.62309536500004, -122.34093099299997)",-122.340930994169,47.6230953646673
1357,630243,16,8174,81,20,BKR-3526,BKR,7TH AVE NE 0450 BLOCK W SIDE (  68) 68 FT N/O NE 45TH ST                                                                                                                                                                                                       ,SGL,2,N,GALV,PCC,06/17/2015 12:00:00 AM +0000, , , , , ,,W,SDOT, ,DISTRICT4, ,N,,"(47.66153962900006, -122.32080753899999)",-122.320807540757002,47.661539629399002
1358,518837,16,8165,348,-34,BKR-1709,BKR,7TH AVE 0220 BLOCK NE SIDE ( 327) 59 FT SE/O BELL ST                                                                                                                                                                                                           ,SGL,2,N,GALV,PCC,10/21/2004 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,07/15/2009 12:00:00 AM +0000,NE,SDOT,INSVC,DISTRICT7, ,N,,"(47.61729093400004, -122.34102292299997)",-122.341022924795013,47.617290934463597
