OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACILITY,RACK_CAPACITY,DELINEATOR_POSTS,FINISH_TYPE,SURFACE_TYPE,INSTALL_DATE,MOUNT_TYPE,COLOR,MANUFACTURER,MODEL_TYPE,CONDITION,CONDITION_ASSESSMENT_DATE,SIDE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,Shape,SHAPE_LNG,SHAPE_LAT
1,675749,16,10742,177,-31,BKR-3937,BKR,GREENWOOD AVE N 0750 BLOCK E SIDE ( 164) 76 FT S/O N 76TH ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT, , ,BKR-INVRU, ,,E, ,PLANNED,DISTRICT6, ,N,,"(47.68377236600003, -122.35517174899996)",-122.355171749915002,47.683772365876798
2,591426,16,14899,19,-29,BKR-3183,BKR,E UNION ST 0210 BLOCK S SIDE (   6) 6 FT E/O 21ST AVE                                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,11/30/2012 12:00:00 AM +0000,SUFMT, ,SDOT,BKR-RLRCK,GOOD,10/20/2012 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.612842485000044, -122.30487111899998)",-122.304871120610002,47.612842485160101
3,518073,16,21531,204,-29,BKR-611,BKR,S WELLER ST 0050 BLOCK S SIDE ( 184) 113 FT W/O 6TH AVE S                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,11/22/2002 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,S,SDOT,INSVC,DISTRICT2, ,N,,"(47.59743622700006, -122.32685179399999)",-122.326851794955999,47.597436227171194
4,667242,16,14225,99,-24,BKR-3884,BKR,E JEFFERSON ST 0170 BLOCK S SIDE (  87) 87 FT E/O 17TH AVE                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,02/10/2017 12:00:00 AM +0000,SUFMT,NONE, ,BKR-INVRU,GOOD,02/10/2017 12:00:00 AM +0000,S, ,INSVC,DISTRICT3, ,N,,"(47.60610807200004, -122.30984912599996)",-122.309849127402003,47.606108071567895
5,663398,16,20482,110,-25,BKR-3810,BKR,S JACKSON ST 0010 BLOCK S SIDE (  85) 85 FT E/O 1ST AVE S                                                                                                                                                                                                      ,SGL,2,N,OTHER,PCC,01/24/2017 12:00:00 AM +0000, , , , ,GOOD,01/24/2017 12:00:00 AM +0000,S, ,INSVC,DISTRICT2,DISTRICT7,N,,"(47.599135630000035, -122.33374361699998)",-122.333743618269011,47.599135630137894
6,518586,16,14355,441,24,BKR-2847,BKR,E MADISON ST 0230 BLOCK NW SIDE ( 428) 52 FT SW/O 24TH AVE E                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,08/28/2009 12:00:00 AM +0000,NW,SDOT,INSVC,DISTRICT3, ,N,,"(47.62008191800004, -122.30137362699998)",-122.30137362837101,47.620081918454602
7,518369,16,8794,217,30,BKR-2585,BKR,ALKI AVE SW 0253 BLOCK SE SIDE ( 204) 28 FT NE/O MARINE AVE SW                                                                                                                                                                                                 ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,08/17/2009 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT1, ,N,,"(47.580472214000054, -122.40683060899994)",-122.406830610077009,47.580472213848502
8,517666,16,20482,126,25,BKR-1371,BKR,S JACKSON ST 0010 BLOCK N SIDE ( 101) 101 FT E/O 1ST AVE S                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,N,SDOT,INSVC,DISTRICT2,DISTRICT7,N,,"(47.599272608000035, -122.33367849599995)",-122.333678497288005,47.599272608055301
9,518644,16,12022,122,27,BKR-1982,BKR,OCCIDENTAL AVE S 0010 BLOCK E SIDE ( 102) 102 FT S/O YESLER WAY                                                                                                                                                                                                ,SGL,2,N,GALV,BR,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,10/15/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT7, ,N,,"(47.60138708300008, -122.33276546299999)",-122.332765463946004,47.601387082673398
10,517436,16,14631,187,32,BKR-1853,BKR,E PINE ST 0060 BLOCK N SIDE ( 167) 68 FT W/O BOYLSTON AVE                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,03/17/2008 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/20/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT3, ,N,,"(47.61531711100008, -122.32371920799994)",-122.323719209122004,47.615317110640099
11,517570,16,10742,143,31,BKR-995,BKR,GREENWOOD AVE N 0750 BLOCK W SIDE ( 130) 110 FT S/O N 76TH ST                                                                                                                                                                                                  ,SGL,2,N,GALV,PCC-PAD,03/10/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/31/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT6, ,N,,"(47.683679392000045, -122.35542339499995)",-122.355423396749998,47.683679391662196
12,517446,16,14847,279.5,-19,BKR-1330,BKR,E THOMAS ST 0080 BLOCK S SIDE ( 267) 36 FT W/O BROADWAY E                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/21/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.62102232800004, -122.32109487299999)",-122.321094874244011,47.621022327576597
13,639122,16,15956,98,27,BKR-3614,BKR,N 85TH ST 0110 BLOCK N SIDE (  75) 75 FT E/O AURORA AVE N                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,10/22/2015 12:00:00 AM +0000,SUFMT, , ,BKR-INVRU,GOOD,10/01/2016 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT5,DISTRICT6,N,,"(47.690633587000036, -122.34412396399995)",-122.34412396583501,47.690633587407298
14,518300,16,9375,51,-30,BKR-912,BKR,BOYLSTON AVE 0160 BLOCK E SIDE (  31) 31 FT N/O E PINE ST                                                                                                                                                                                                      ,SGL,8,N,GALV,PCC,12/20/2007 12:00:00 AM +0000,SUFMT,NONE,BKR-CORA,BKR-W4508,GOOD,07/21/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT3, ,N,,"(47.61537175500007, -122.32329643699995)",-122.323296437931006,47.615371755038595
15,518453,16,18281,80,-17,BKR-2211,BKR,NW CANAL ST 0009 BLOCK N SIDE (  67) 67 FT W/O 1ST AVE NW                                                                                                                                                                                                      ,SGL,4,N,OTHER,BR,, ,NONE, , ,GOOD,09/27/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT6, ,N,,,-127.390658288157013,46.808300079110097
16,583327,16,9045,132,29,BKR-3127,BKR,BALLARD AVE NW 0530 BLOCK SW SIDE ( 122) 122 FT NW/O NW VERNON PL                                                                                                                                                                                              ,SGL,2,N,GALV,PCC,05/23/2012 12:00:00 AM +0000, , , ,BKR-INVRU, ,,SW,SDOT,OUTSVC,DISTRICT6, ,N,,"(47.66664235500008, -122.38362414499994)",-122.383624145908996,47.666642355410197
17,518576,16,14364,259,-27,BKR-618,BKR,E MADISON ST 0290 BLOCK SE SIDE ( 239) 239 FT NE/O 29TH E AVE E                                                                                                                                                                                                ,SGL,2,N,GALV,PCC,12/05/2002 12:00:00 AM +0000,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,08/19/2009 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT3, ,N,,"(47.62465563000006, -122.29429731999994)",-122.294297321019997,47.624655630285901
18,517442,16,14633,197,-24,BKR-1155,BKR,E PINE ST 0080 BLOCK S SIDE ( 175) 127 FT W/O BROADWAY                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/20/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.61516581600006, -122.32133177699995)",-122.321331778185012,47.615165816137896
19,518560,16,10743,60,31,BKR-2206,BKR,GREENWOOD AVE N 0760 BLOCK W SIDE (  47) 47 FT N/O N 76TH ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,08/03/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT6, ,N,,"(47.68418215000003, -122.35542371799994)",-122.355423718954,47.684182149810297
20,518792,16,14904,272,-24,BKR-1195,BKR,E UNION ST 0260 BLOCK S SIDE ( 259) 37 FT W/O 27TH AVE                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,07/22/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.612869111000066, -122.29770584699997)",-122.297705848012001,47.6128691113882
21,609798,16,14355,63,24,BKR-3350,BKR,E MADISON ST 0230 BLOCK NW SIDE (  50) 50 FT NE/O 23RD AVE E                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,01/06/2014 12:00:00 AM +0000,SUFMT, , ,BKR-INVRU,GOOD,06/01/2015 12:00:00 AM +0000,NW,SDOT,INSVC,DISTRICT3, ,N,,"(47.61934024200008, -122.30243955299994)",-122.30243955448401,47.619340242024002
22,518478,16,14629,73,34,BKR-1148,BKR,E PINE ST 0041 BLOCK N SIDE (  66) 66 FT E/O CRAWFORD PL                                                                                                                                                                                                       ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/20/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT3, ,N,,"(47.615309754000066, -122.32589316199994)",-122.325893163846999,47.615309754178597
23,518267,16,9454,192,-30,BKR-2796,BKR,BROADWAY E 0040 BLOCK E SIDE ( 180) 180 FT N/O E HARRISON ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,09/30/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT3, ,N,,"(47.62251423600003, -122.32079285999998)",-122.320792861740003,47.622514236391496
24,518072,16,21531,50,-29,BKR-228,BKR,S WELLER ST 0050 BLOCK S SIDE (  30) 30 FT E/O 5TH AVE S                                                                                                                                                                                                       ,SGL,2,N,GALV,PCC,03/28/2005 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,S,SDOT,INSVC,DISTRICT2, ,N,,"(47.59743695800006, -122.32747353599996)",-122.327473537416012,47.597436958268894
25,518189,16,8796,276,30,BKR-2590,BKR,ALKI AVE SW 0265 BLOCK SE SIDE ( 263) 95 FT NE/O 60TH AVE SW                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC-PAD,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,08/17/2009 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT1, ,N,,"(47.57958505500005, -122.40888264399996)",-122.408882645749998,47.579585054857198
26,663395,16,20482,85,-25,BKR-3809,BKR,S JACKSON ST 0010 BLOCK S SIDE (  60) 60 FT E/O 1ST AVE S                                                                                                                                                                                                      ,SGL,2,N,OTHER,PCC,01/19/2017 12:00:00 AM +0000, , , , ,GOOD,01/19/2017 12:00:00 AM +0000,S, ,INSVC,DISTRICT2,DISTRICT7,N,,"(47.59913578100003, -122.33384467099995)",-122.333844672250009,47.599135780704898
27,518574,16,14364,116,27,BKR-2883,BKR,E MADISON ST 0290 BLOCK NW SIDE (  99) 99 FT NE/O 29TH E AVE E                                                                                                                                                                                                 ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,08/19/2009 12:00:00 AM +0000,NW,SDOT,INSVC,DISTRICT3, ,N,,"(47.62448395400003, -122.29486203299996)",-122.294862034098003,47.624483953827095
28,517435,16,14631,175,32,BKR-1153,BKR,E PINE ST 0060 BLOCK N SIDE ( 155) 80 FT W/O BOYLSTON AVE                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/20/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT3, ,N,,"(47.61531683000004, -122.32376762799998)",-122.323767629135006,47.615316829568798
29,518374,16,10398,303,30,BKR-2517,BKR,FAUNTLEROY WAY SW 0640 BLOCK S SIDE ( 280) 13 FT E/O 42ND AVE SW                                                                                                                                                                                               ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,08/11/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT1, ,N,,"(47.54506582100004, -122.38557525199997)",-122.385575253620004,47.5450658206843
30,675843,16,10742,158,-31,BKR-3938,BKR,GREENWOOD AVE N 0750 BLOCK E SIDE ( 145) 95 FT S/O N 76TH ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT, , ,BKR-INVRU, ,,E, ,PLANNED,DISTRICT6, ,N,,"(47.683720451000056, -122.35517171599997)",-122.355171716934009,47.683720450637004
31,591427,16,14899,29,-29,BKR-3184,BKR,E UNION ST 0210 BLOCK S SIDE (  16) 16 FT E/O 21ST AVE                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,11/30/2012 12:00:00 AM +0000,SUFMT, ,SDOT,BKR-RLRCK,GOOD,10/20/2012 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.61284284900006, -122.30483068299998)",-122.304830684804998,47.6128428488881
32,518074,16,21531,268,-29,BKR-612,BKR,S WELLER ST 0050 BLOCK S SIDE ( 248) 49 FT W/O 6TH AVE S                                                                                                                                                                                                       ,SGL,2,N,GALV,PCC,11/22/2002 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,S,SDOT,INSVC,DISTRICT2, ,N,,"(47.597435922000045, -122.32659340699996)",-122.326593408294016,47.597435922161495
33,518257,16,9454,281,-30,BKR-1490,BKR,BROADWAY E 0040 BLOCK E SIDE ( 269) 121 FT S/O E REPUBLICAN ST                                                                                                                                                                                                 ,SGL,2,N,GALV,PCC,,STBS,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,07/21/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT3, ,N,,"(47.62275772700008, -122.32079671999998)",-122.320796720973007,47.622757727065
34,667209,16,18317,453,-17,BKR-3877,BKR,NW 43RD ST 0080 BLOCK N SIDE ( 440) 440 FT W/O 8TH N AVE NW                                                                                                                                                                                                    ,SGL,2,N,GALV,PCC,01/26/2017 12:00:00 AM +0000,SUFMT,NONE, ,BKR-INVRU,GOOD,01/26/2017 12:00:00 AM +0000,N, ,INSVC,DISTRICT6, ,N,,"(47.65931554300005, -122.367960789)",-122.367960790465006,47.659315543455598
35,518575,16,14364,20,-27,BKR-2816,BKR,E MADISON ST 0290 BLOCK SE SIDE (   0) 0 FT NE/O 29TH E AVE E                                                                                                                                                                                                  ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,08/19/2009 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT3, ,N,,"(47.62419351400007, -122.29498269199996)",-122.294982693594008,47.624193514301901
36,518534,16,14638,121,26,BKR-1034,BKR,E PINE ST 0120 BLOCK N SIDE (  96) 96 FT E/O 12TH AVE                                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,03/31/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/20/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT3, ,N,,"(47.61533855600004, -122.31636614699994)",-122.316366148181018,47.615338555742902
37,517777,16,20594,121,29,BKR-2830,BKR,S KING ST 0010 BLOCK N SIDE (  96) 108 FT W/O OCCIDENTAL W AVE S                                                                                                                                                                                               ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,10/15/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT2, ,N,,"(47.59837046400003, -122.33370177499995)",-122.333701776680002,47.598370463578092
38,646444,16,14905,258,29,BKR-3729,BKR,E UNION ST 0270 BLOCK N SIDE ( 245) 50 FT W/O M L KING JR WAY                                                                                                                                                                                                  ,SGL,2,N,GALV,PCC,04/20/2016 12:00:00 AM +0000, , , , ,GOOD,05/02/2016 12:00:00 AM +0000,N, ,INSVC,DISTRICT3, ,N,,"(47.61301908200005, -122.29645843499998)",-122.296458435955003,47.613019082132901
39,554509,16,14604,213,30,BKR-2952,BKR,E PIKE ST 0130 BLOCK N SIDE ( 202) 90 FT W/O 14TH AVE                                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,08/31/2010 12:00:00 AM +0000,STBS,NONE,BKR-CRMTL,BKR-CRRKW,GOOD,08/31/2010 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT3, ,N,,"(47.61420124400007, -122.31467007099997)",-122.314670072091019,47.614201243676902
40,596620,16,14355,112,24,BKR-3274,BKR,E MADISON ST 0230 BLOCK NW SIDE (  99) 99 FT NE/O 23RD AVE E                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,05/22/2013 12:00:00 AM +0000,SUFMT, , ,BKR-RLRCK,GOOD,06/01/2015 12:00:00 AM +0000,NW,SDOT,INSVC,DISTRICT3, ,N,,"(47.619436386000075, -122.30230137899997)",-122.302301380398006,47.619436385792397
41,517437,16,14631,198,32,BKR-635,BKR,E PINE ST 0060 BLOCK N SIDE ( 178) 57 FT W/O BOYLSTON AVE                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC-PAD,03/17/2008 12:00:00 AM +0000,STBS,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,08/27/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT3, ,N,,"(47.615317368000035, -122.32367482299998)",-122.32367482443,47.615317368149398
42,518148,16,20500,41,17,BKR-726,BKR,S JACKSON ST 0200 BLOCK N SIDE (  28) 28 FT E/O 20TH AVE S                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,03/18/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,07/24/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT3, ,N,,"(47.59930226400007, -122.30619177599999)",-122.306191776950996,47.599302264065194
43,517447,16,14847,200.5,-19,BKR-294,BKR,E THOMAS ST 0080 BLOCK S SIDE ( 188) 115 FT W/O BROADWAY E                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,10/20/2006 12:00:00 AM +0000,STBS,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.62102004600007, -122.32141402899998)",-122.321414030605013,47.621020045932298
44,518299,16,9375,237,29,BKR-1840,BKR,BOYLSTON AVE 0160 BLOCK W SIDE ( 215) 172 FT S/O E OLIVE ST                                                                                                                                                                                                    ,SGL,4,N,GALV,PCC,04/02/2002 12:00:00 AM +0000,SUFMT,NONE,BKR-CORA,BKR-W2704,GOOD,07/21/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT3, ,N,,"(47.61587832300006, -122.32354581499999)",-122.323545816454015,47.615878322764395
45,591960,16,15895,501,-20,BKR-3229,BKR,N 80TH ST 0110 BLOCK S SIDE ( 488) 150 FT W/O STONE AVE N                                                                                                                                                                                                      ,SGL,10,N,GALV,PCC,11/07/2012 12:00:00 AM +0000,SUFMT, ,OTHER,BKR-NCONF,GOOD,11/01/2012 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT6, ,N,,"(47.68688103200003, -122.34247155599996)",-122.342471557188006,47.686881032417098
46,582041,16,9045,448,29,BKR-3088,BKR,BALLARD AVE NW 0530 BLOCK SW SIDE ( 438) 129 FT SE/O 22ND AVE NW                                                                                                                                                                                               ,SGL,2,N,GALV,PCC,05/22/2012 12:00:00 AM +0000,SUFMT, ,BKR-CRMTL,BKR-INVRU, ,,SW,SDOT,OUTSVC,DISTRICT6, ,N,,"(47.667318873000056, -122.38442127899998)",-122.384421280137005,47.667318873219493
47,518578,16,14364,126,-27,BKR-602,BKR,E MADISON ST 0290 BLOCK SE SIDE ( 106) 106 FT NE/O 29TH E AVE E                                                                                                                                                                                                ,SGL,2,N,GALV,PCC,01/13/2002 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,08/19/2009 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT3, ,N,,"(47.624398470000074, -122.29467872099997)",-122.294678722222997,47.624398470032602
48,517434,16,14631,153,-26,BKR-1249,BKR,E PINE ST 0060 BLOCK S SIDE ( 137) 98 FT W/O BOYLSTON AVE                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,08/14/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,08/20/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.615157314000044, -122.32385437899995)",-122.323854380178005,47.6151573138104
49,640132,16,14355,458,24,BKR-3666,BKR,E MADISON ST 0230 BLOCK NW SIDE ( 445) 35 FT SW/O 24TH AVE E                                                                                                                                                                                                   ,CLSTR,4,N,GALV,PCC,02/26/2016 12:00:00 AM +0000, , , , ,GOOD,,NW,SDOT,INSVC,DISTRICT3, ,N,,"(47.62011527400006, -122.30132568799996)",-122.301325689091016,47.620115273961197
50,518409,16,14600,60,-31,BKR-1127,BKR,E PIKE ST 0090 BLOCK S SIDE (  34) 34 FT E/O BROADWAY                                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/20/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.61399241300006, -122.32053657299997)",-122.320536574684013,47.613992412828097
51,518258,16,9454,364,-30,BKR-1491,BKR,BROADWAY E 0040 BLOCK E SIDE ( 352) 38 FT S/O E REPUBLICAN ST                                                                                                                                                                                                  ,SGL,2,N,GALV,PCC,,STBS,NONE,OTHER,BKR-RLTYP,GOOD,07/21/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT3, ,N,,"(47.622984803000065, -122.32080031899994)",-122.320800320094008,47.622984802648794
52,518569,16,11371,35,-25,BKR-668,BKR,LENORA ST 0050 BLOCK SE SIDE (   8) 8 FT NE/O 5TH AVE                                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,04/15/2008 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/15/2009 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT7, ,N,,"(47.61452247700004, -122.34030425599997)",-122.340304257631004,47.614522476926901
53,517665,16,11333,332,-37,BKR-465,BKR,LEARY AVE NW 0540 BLOCK NE SIDE ( 316) 316 FT NW/O NW VERNON PL                                                                                                                                                                                                ,SGL,2,N,GALV,PCC,10/14/2008 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/31/2009 12:00:00 AM +0000,NE,SDOT,INSVC,DISTRICT6, ,N,,"(47.66763746000004, -122.38307463499996)",-122.383074636248011,47.667637460313003
54,517661,16,11333,690,-37,BKR-1931,BKR,LEARY AVE NW 0540 BLOCK NE SIDE ( 674) 182 FT SE/O NW MARKET ST                                                                                                                                                                                                ,SGL,2,N,GALV,PCC,03/10/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/31/2009 12:00:00 AM +0000,NE,SDOT,INSVC,DISTRICT6, ,N,,"(47.66840409400004, -122.38397821799998)",-122.383978219266012,47.668404094263295
55,619111,16,11333,604,-37,BKR-3433,BKR,LEARY AVE NW 0540 BLOCK NE SIDE ( 588) 268 FT SE/O NW MARKET ST                                                                                                                                                                                                ,SGL,2,N,GALV,PCC,10/22/2014 12:00:00 AM +0000,SUFMT, , ,BKR-INVRU,GOOD,09/01/2016 12:00:00 AM +0000,NE,SDOT,INSVC,DISTRICT6, ,N,,"(47.66821993100007, -122.38376115399996)",-122.383761154912008,47.668219931412501
56,617102,16,11333,28,-37,BKR-3423,BKR,LEARY AVE NW 0540 BLOCK NE SIDE (  12) 12 FT NW/O NW VERNON PL                                                                                                                                                                                                 ,SGL,2,N,GALV,PCC,05/23/2014 12:00:00 AM +0000, , , , , ,,NE,SDOT, ,DISTRICT6, ,N,,"(47.66698645800005, -122.38230736699995)",-122.382307368707004,47.666986458324196
57,517664,16,11333,50,37,BKR-440,BKR,LEARY AVE NW 0540 BLOCK SW SIDE (  33) 33 FT NW/O NW VERNON PL                                                                                                                                                                                                 ,SGL,2,N,GALV,PCC,04/14/2008 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/31/2009 12:00:00 AM +0000,SW,SDOT,OUTSVC,DISTRICT6, ,N,,"(47.66690721400005, -122.38259785199995)",-122.382597853099995,47.666907213835195
58,517662,16,11333,626,37,BKR-2443,BKR,LEARY AVE NW 0540 BLOCK SW SIDE ( 609) 247 FT SE/O NW MARKET ST                                                                                                                                                                                                ,CLSTR,4,N,GALV,PCC,,SUFMT,NONE, , ,GOOD,07/31/2009 12:00:00 AM +0000,SW,SDOT,INSVC,DISTRICT6, ,N,,"(47.66814068300005, -122.38405164299996)",-122.384051643980996,47.6681406832205
59,518664,16,7921,137,-17,BKR-948,BKR,6TH AVE NW 0390 BLOCK E SIDE ( 124) 124 FT N/O NW BOWDOIN PL                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,12/05/2007 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/31/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT6, ,N,,"(47.655551410000044, -122.36351175699997)",-122.363511758539005,47.655551410117198
60,618490,16,11333,37,37,BKR-3430,BKR,LEARY AVE NW 0540 BLOCK SW SIDE (  20) 20 FT NW/O NW VERNON PL                                                                                                                                                                                                 ,ONST,6,Y,GALV,AC/AC,09/30/2014 12:00:00 AM +0000, , , , ,GOOD,09/14/2014 12:00:00 AM +0000,SW,SDOT,INSVC,DISTRICT6, ,N,,"(47.666879375000065, -122.38256504099996)",-122.382565042636003,47.666879374853295
61,517163,16,9774,197,17,BKR-663,BKR,CORLISS AVE N 0460 BLOCK W SIDE ( 184) 0 FT S/O DEAD END 1                                                                                                                                                                                                     ,SGL,8,N,GALV,PCC,03/23/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CORA,BKR-W4508,FAIR,07/29/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT4, ,N,,"(47.66316064000006, -122.33140962999994)",-122.331409630921002,47.663160640028998
62,582039,16,9045,180,-29,BKR-3086,BKR,BALLARD AVE NW 0530 BLOCK NE SIDE ( 165) 165 FT NW/O NW VERNON PL                                                                                                                                                                                              ,SGL,2,N,GALV,PCC,05/22/2012 12:00:00 AM +0000,SUFMT, ,BKR-CRMTL,BKR-RLRCK, ,,NE,SDOT,OUTSVC,DISTRICT6, ,N,,"(47.666844139000034, -122.38356105199995)",-122.383561053682016,47.666844138744004
